Company_name,Company_size,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title
RDO Equipment Co.,1001 to 5000 Employees,https://media.glassdoor.com/sql/6447/rdo-equipment-squarelogo-1522702122680.png,"Construction, Repair & Maintenance",truck driver,Full-time,"Bismarck, ND",,Over The Road Truck Driver
gpac,201 to 500 Employees,https://media.glassdoor.com/sql/731572/gpac-squarelogo-1424761412590.png,Business Services,consultant,Full-time,"Bismarck, ND",$70K - $195K ,Executive Search Consultant
hibu Inc,1001 to 5000 Employees,https://media.glassdoor.com/sql/7640/hibu-squarelogo-1541795936450.png,Business Services,outside sales representative,Full-time,"Bismarck, ND",,Outside Sales Representative - B2B
Army National Guard,10000+ Employees,https://media.glassdoor.com/sql/41436/us-national-guard-squarelogo-1591206491737.png,Government,hr specialist,Part-time,"Bismarck, ND",$34K - $76K ,42A Human Resources Specialist
BioLife Plasma Services,1001 to 5000 Employees,https://media.glassdoor.com/sql/232481/biolife-plasma-services-squarelogo-1387224330987.png,Health Care,data center technician,Full-time,"Bismarck, ND",$34K - $71K ,Plasma Center Technician Hiring Event
Enterprise Holdings,10000+ Employees,https://media.glassdoor.com/sql/354335/enterprise-holdings-squarelogo-1381172895997.png,Travel & Tourism,sales manager,Apprentice/Trainee,"Bismarck, ND",$39K - $96K ,Sales Management Trainee
Bystronic,1001 to 5000 Employees,https://media.glassdoor.com/sql/779293/bystronic-squarelogo-1550558588382.png,Manufacturing,field service engineer,Full-time,"Bismarck, ND",$42K - $69K ,Capital Equipment Field Service Engineer
Cassia,5001 to 10000 Employees,https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png,Health Care,medical assistant,Full-time,"Bismarck, ND",,"Certified Medication Assistant (CMA), FT Day"
Talkspace,51 to 200 Employees,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png,Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Mental Health Counselor
Bobcat Company,1001 to 5000 Employees,https://media.glassdoor.com/sql/38667/bobcat-company-squarelogo-1549475660759.png,Manufacturing,compliance analyst,Full-time,"Bismarck, ND",$35K - $61K ,Engineer Document Control Specialist (ECO Specialist)
Alltech,5001 to 10000 Employees,https://media.glassdoor.com/sql/466897/alltech-squarelogo.png,Agriculture & Forestry,plant manager,Full-time,"Bismarck, ND",$57K - $125K ,"Plant Manager - Bismarck, ND"
Cassia,5001 to 10000 Employees,https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png,Health Care,certified nursing assistant,Part-time,"Bismarck, ND",,"Certified Nursing Assistants (CNAs)- PT Day 1,500 Bonus"
Cassia,5001 to 10000 Employees,https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png,Health Care,certified nursing assistant,Full-time,"Bismarck, ND",,"Certified Nursing Assistant (CNA)- FT Day, 3000 Bonus"
Army National Guard,10000+ Employees,https://media.glassdoor.com/sql/41436/us-national-guard-squarelogo-1591206491737.png,Government,pastor,Part-time,"Bismarck, ND",,56M Chaplain Assistant
Centennial Homes,51 to 200 Employees,https://media.glassdoor.com/sql/145501/centennial-homes-squarelogo-1429594663693.png,Real Estate,carpenter,Full-time,"Bismarck, ND",,Tape and Texture Finish Carpenter/Warranty Tech
